"id","qa","questionType"
"11","{""answer"": ""连机创机机床公司"", ""evidence"": [{""企业指标"": {""研发人员数量"": ""290.0 人""}}, {""企业"": {""企业名称"": ""连机创机机床公司""}}, {""省份"": {""省份名称"": ""安徽省""}}, {""地区产业指标数据"": {""省份"": ""安徽省"", ""行业"": ""水利、环境和公共设施管理业"", ""研发人员数量均值"": ""132.111111111111 人""}}], ""question"": ""2022年连机创机机床公司的研发人员数量与所在省份同行业的平均水平相比，哪个更高？"", ""reference"": [{""ragCompanyData"": ""a81bbdaf-4973-42a6-92c1-d9aeced396da""}, {""ragDistrictIndustryData"": ""9827d220-2c11-4ff3-ac01-b163706f67b3""}, {""ragCompany"": ""ba97b51b-d1a5-4e35-b2c9-d975b493d133""}]}","combination:企业指标-省份-地区产业指标"
"12","{""answer"": ""润会数智系统公司"", ""evidence"": [{""企业指标"": {""营业利润金额"": ""9041715.19 元""}}, {""企业"": {""企业名称"": ""润会数智系统公司""}}, {""省份"": {""省份名称"": ""吉林省""}}, {""地区产业指标数据"": {""省份"": ""吉林省"", ""行业"": ""科学研究和技术服务业"", ""营业利润金额合计"": ""0 元""}}], ""question"": ""2022年润会数智系统公司的营业利润金额与所在省份的同业营业利润金额合计相比，哪个更高？"", ""reference"": [{""ragCompanyData"": ""ec61653b-88b8-4a5e-8e7d-ed9fda3dcfba""}, {""ragDistrictIndustryData"": ""a93c5a67-46ad-438a-be74-d49e8a6cbc1b""}, {""ragCompany"": ""1e954ae5-70b5-48e4-90ee-a640834447cb""}]}","combination:企业指标-省份-地区产业指标"
"13","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""营业收入金额"": ""157705748.68 元""}}, {""企业"": {""企业名称"": ""润会数智系统公司""}}, {""省份"": {""省份名称"": ""吉林省""}}, {""地区产业指标数据"": {""省份"": ""吉林省"", ""行业"": ""科学研究和技术服务业"", ""营业收入金额合计"": ""0 元""}}], ""question"": ""2022年润会数智系统公司的营业收入金额是否高于其所在省份对应行业的营业收入金额合计？"", ""reference"": [{""ragCompanyData"": ""ec61653b-88b8-4a5e-8e7d-ed9fda3dcfba""}, {""ragDistrictIndustryData"": ""a93c5a67-46ad-438a-be74-d49e8a6cbc1b""}, {""ragCompany"": ""1e954ae5-70b5-48e4-90ee-a640834447cb""}]}","combination:企业指标-省份-地区产业指标"
"14","{""answer"": ""相等"", ""evidence"": [{""企业指标"": {""累计PCT发明专利申请数"": ""1 件""}}, {""企业"": {""企业名称"": ""众集达昌铜业公司""}}, {""省份"": {""省份名称"": ""江苏省""}}, {""地区产业指标数据"": {""省份"": ""江苏省"", ""行业"": ""农、林、牧、渔业"", ""累计PCT发明专利申请数最小值"": ""0 件""}}], ""question"": ""2022年众集达昌铜业公司的累计PCT发明专利申请数与其所在省份的同业累计PCT发明专利申请数最小值相比，哪个更高？"", ""reference"": [{""ragCompanyData"": ""1a43f9c2-bb1c-4f31-91c1-7fd599da75e2""}, {""ragDistrictIndustryData"": ""183e9fca-3979-4971-8a7f-a97cf04f2cea""}, {""ragCompany"": ""b6494485-93ab-4705-ab72-0aa551d2f1d6""}]}","combination:企业指标-省份-地区产业指标"
"15","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""资产负债率"": ""35.4 %""}}, {""企业"": {""企业名称"": ""众集达昌铜业公司""}}, {""省份"": {""省份名称"": ""江苏省""}}, {""地区产业指标数据"": {""省份"": ""江苏省"", ""行业"": ""农、林、牧、渔业"", ""资产负债率最小值"": ""23.15 %""}}], ""question"": ""2022年众集达昌铜业公司的资产负债率是否高于其所在省份对应行业的最低资产负债率？"", ""reference"": [{""ragCompanyData"": ""1a43f9c2-bb1c-4f31-91c1-7fd599da75e2""}, {""ragDistrictIndustryData"": ""183e9fca-3979-4971-8a7f-a97cf04f2cea""}, {""ragCompany"": ""b6494485-93ab-4705-ab72-0aa551d2f1d6""}]}","combination:企业指标-省份-地区产业指标"
"16","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""净利润同比增减幅"": ""-4.46 %""}}, {""企业"": {""企业名称"": ""众通捷通运输公司""}}, {""行业"": {""行业名称"": ""交通运输、仓储和邮政业""}}, {""企业"": {""企业名称"": ""云达航昌快递公司""}}, {""企业指标"": {""净利润同比增减幅"": ""377.60 %""}}], ""question"": ""2022年众通捷通运输公司的净利润同比增减幅是否低于云达航昌快递公司的净利润同比增减幅？"", ""reference"": [{""ragCompanyData"": ""c6a245c0-c35b-4eab-9338-71e29c7a4ee2""}, {""ragCompanyData"": ""621b0592-2646-4b1b-a226-80ae2405cc68""}, {""ragCompany"": ""a0149779-8c3a-4625-a26d-e86852928f54""}, {""ragCompany"": ""7b91b75d-c41b-4ea8-a396-2f4907e19cf7""}]}","combination:企业指标-行业-企业指标"
"17","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""公司市值"": ""33.0 亿元""}}, {""企业"": {""企业名称"": ""众通捷通运输公司""}}, {""行业"": {""行业名称"": ""交通运输、仓储和邮政业""}}, {""企业"": {""企业名称"": ""云达航昌快递公司""}}, {""企业指标"": {""公司市值"": ""136.0 亿元""}}], ""question"": ""2022年众通捷通运输公司的公司市值是否低于云达航昌快递公司的公司市值？"", ""reference"": [{""ragCompanyData"": ""c6a245c0-c35b-4eab-9338-71e29c7a4ee2""}, {""ragCompanyData"": ""621b0592-2646-4b1b-a226-80ae2405cc68""}, {""ragCompany"": ""a0149779-8c3a-4625-a26d-e86852928f54""}, {""ragCompany"": ""7b91b75d-c41b-4ea8-a396-2f4907e19cf7""}]}","combination:企业指标-行业-企业指标"
"18","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""年度中国发明专利授权数"": ""8 件""}}, {""企业"": {""企业名称"": ""环星锦雅时尚公司""}}, {""行业"": {""行业名称"": ""纺织鞋服业""}}, {""企业"": {""企业名称"": ""李丁盛尚纺织公司""}}, {""企业指标"": {""年度中国发明专利授权数"": ""16 件""}}], ""question"": ""2022年环星锦雅时尚公司的年度中国发明专利授权数是否低于李丁盛尚纺织公司的？"", ""reference"": [{""ragCompanyData"": ""5d67105a-bf43-417d-90ac-3ede097bafe4""}, {""ragCompanyData"": ""6f68c180-c6ce-442f-8974-6544dde16d10""}, {""ragCompany"": ""2ce0db8a-6bb6-4faf-964c-e078851990cf""}, {""ragCompany"": ""73ee79bd-b25a-42e8-87be-42324114c643""}]}","combination:企业指标-行业-企业指标"
"19","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""参与起草国家标准"": ""1 个""}}, {""企业"": {""企业名称"": ""宝新科慧软件公司""}}, {""行业"": {""行业名称"": ""信息传输、软件和信息技术服务业""}}, {""企业"": {""企业名称"": ""众课创信软件公司""}}, {""企业指标"": {""参与起草国家标准"": ""1 个""}}], ""question"": ""2022年宝新科慧软件公司的参与起草国家标准数量是否与众课创信软件公司相同？"", ""reference"": [{""ragCompanyData"": ""8d756dae-ab72-486c-b4b4-051d5c60aded""}, {""ragCompanyData"": ""6cd8b136-cff6-4f44-8317-ff6d6d3f5d18""}, {""ragCompany"": ""1c1441c7-e95e-4f3e-ac46-37a48236ddbe""}, {""ragCompany"": ""64052c09-3d7d-4553-beb2-2f25b7e94648""}]}","combination:企业指标-行业-企业指标"
"20","{""answer"": ""-483.0"", ""evidence"": [{""企业指标"": {""累计PCT专利申请数"": ""7 件""}}, {""企业"": {""企业名称"": ""宝新科慧软件公司""}}, {""行业"": {""行业名称"": ""信息传输、软件和信息技术服务业""}}, {""企业"": {""企业名称"": ""众课创信软件公司""}}, {""企业指标"": {""累计PCT专利申请数"": ""490 件""}}], ""question"": ""2022年宝新科慧软件公司的累计PCT专利申请数与众课创信软件公司相比，相差多少？"", ""reference"": [{""ragCompanyData"": ""8d756dae-ab72-486c-b4b4-051d5c60aded""}, {""ragCompanyData"": ""6cd8b136-cff6-4f44-8317-ff6d6d3f5d18""}, {""ragCompany"": ""1c1441c7-e95e-4f3e-ac46-37a48236ddbe""}, {""ragCompany"": ""64052c09-3d7d-4553-beb2-2f25b7e94648""}]}","combination:企业指标-行业-企业指标"
"21","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""雇员总数"": ""7277.0 人""}}, {""企业"": {""企业名称"": ""灿芯辉芯半导体公司""}}, {""行业"": {""行业名称"": ""半导体业""}}, {""企业"": {""企业名称"": ""瑞芯芯耀材料公司""}}, {""企业指标"": {""雇员总数"": ""2989.0 人""}}], ""question"": ""2022年灿芯辉芯半导体公司的雇员总数是否高于瑞芯芯耀材料公司的雇员总数？"", ""reference"": [{""ragCompanyData"": ""ddbff962-a84a-4b00-ab50-cbd0fd41ab5f""}, {""ragCompanyData"": ""7d7e048d-3e3d-4ca6-8a8c-fff1dea07d45""}, {""ragCompany"": ""70750f9d-0f29-4e45-acaa-95fdb53e4ec0""}, {""ragCompany"": ""4226787a-eeb7-49c5-9b91-57d11e97296e""}]}","combination:企业指标-行业-企业指标"
"22","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""累计中国发明专利授权数"": ""59 件""}}, {""企业"": {""企业名称"": ""创玮耀耀电气公司""}}, {""行业"": {""行业名称"": ""消费电子及电气业""}}, {""企业"": {""企业名称"": ""美能电锦科技公司""}}, {""企业指标"": {""累计中国发明专利授权数"": ""140 件""}}], ""question"": ""2022年创玮耀耀电气公司的累计中国发明专利授权数是否低于美能电锦科技公司？"", ""reference"": [{""ragCompanyData"": ""f1c231b9-3bb2-4ccb-9dea-015c6d03b2ab""}, {""ragCompanyData"": ""e8c24716-5362-4b4d-b0fd-7fac6e3faba7""}, {""ragCompany"": ""3aae2df1-8ad3-4eed-bba9-92c1e96021af""}, {""ragCompany"": ""cfc78306-ad47-4edd-a11f-d441d5797ce0""}]}","combination:企业指标-行业-企业指标"
"23","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""研发投入占比"": ""11.7 %""}}, {""企业"": {""企业名称"": ""用丰信软网络公司""}}, {""行业"": {""行业名称"": ""信息传输、软件和信息技术服务业""}}, {""企业"": {""企业名称"": ""金飞数软数据服务公司""}}, {""企业指标"": {""研发投入占比"": ""5.85 %""}}], ""question"": ""2022年用丰信软网络公司的研发投入占比是否高于金飞数软数据服务公司的研发投入占比？"", ""reference"": [{""ragCompanyData"": ""7e4ee9ad-488e-4b1e-957c-ec4ef746b558""}, {""ragCompanyData"": ""757b1209-5063-43ce-a251-537667e340a1""}, {""ragCompany"": ""5f8d33d8-0528-451e-aaf6-8ea404fd0080""}, {""ragCompany"": ""6070c698-de3e-4b37-874c-056225b3214e""}]}","combination:企业指标-行业-企业指标"
"24","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""总资产"": ""957348449.13 元""}}, {""企业"": {""企业名称"": ""用丰信软网络公司""}}, {""行业"": {""行业名称"": ""信息传输、软件和信息技术服务业""}}, {""企业"": {""企业名称"": ""金飞数软数据服务公司""}}, {""企业指标"": {""总资产"": ""674647621.10 元""}}], ""question"": ""2022年用丰信软网络公司的总资产是否高于金飞数软数据服务公司的总资产？"", ""reference"": [{""ragCompanyData"": ""7e4ee9ad-488e-4b1e-957c-ec4ef746b558""}, {""ragCompanyData"": ""757b1209-5063-43ce-a251-537667e340a1""}, {""ragCompany"": ""5f8d33d8-0528-451e-aaf6-8ea404fd0080""}, {""ragCompany"": ""6070c698-de3e-4b37-874c-056225b3214e""}]}","combination:企业指标-行业-企业指标"
"25","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""公司市值"": ""220.0 亿元""}}, {""企业"": {""企业名称"": ""物丽昌源批发公司""}}, {""行业"": {""行业名称"": ""批发和零售业""}}, {""企业"": {""企业名称"": ""物丽汇锦零售公司""}}, {""企业指标"": {""公司市值"": ""0.58 亿元""}}], ""question"": ""2022年物丽昌源批发公司的公司市值是否高于物丽汇锦零售公司的公司市值？"", ""reference"": [{""ragCompanyData"": ""328fdefe-18d1-4c41-8462-5fedd4a3fbed""}, {""ragCompanyData"": ""e8c22d07-3c1f-4593-9fbf-3a181b520d85""}, {""ragCompany"": ""4a50579b-d523-4bca-8dcd-ee5defe6d541""}, {""ragCompany"": ""0fb0e21a-ae10-46c2-9c10-20f694a4c9b1""}]}","combination:企业指标-行业-企业指标"
"26","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""营业收入金额"": ""73443148744.17 元""}}, {""企业"": {""企业名称"": ""物丽昌源批发公司""}}, {""行业"": {""行业名称"": ""批发和零售业""}}, {""企业"": {""企业名称"": ""物丽汇锦零售公司""}}, {""企业指标"": {""营业收入金额"": ""1144710941.0 元""}}], ""question"": ""2022年物丽昌源批发公司的营业收入金额是否高于物丽汇锦零售公司的营业收入金额？"", ""reference"": [{""ragCompanyData"": ""328fdefe-18d1-4c41-8462-5fedd4a3fbed""}, {""ragCompanyData"": ""e8c22d07-3c1f-4593-9fbf-3a181b520d85""}, {""ragCompany"": ""4a50579b-d523-4bca-8dcd-ee5defe6d541""}, {""ragCompany"": ""0fb0e21a-ae10-46c2-9c10-20f694a4c9b1""}]}","combination:企业指标-行业-企业指标"
"27","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""年度中国专利申请数"": ""4552 件""}}, {""企业"": {""企业名称"": ""美能炫锦电气公司""}}, {""行业"": {""行业名称"": ""消费电子及电气业""}}, {""企业"": {""企业名称"": ""丽信耀悦电器公司""}}, {""企业指标"": {""年度中国专利申请数"": ""1203 件""}}], ""question"": ""2022年美能炫锦电气公司的年度中国专利申请数是否高于丽信耀悦电器公司的年度中国专利申请数？"", ""reference"": [{""ragCompanyData"": ""22285f57-6f5f-47ec-93d7-1e34cce5fcbc""}, {""ragCompanyData"": ""713a02d3-532d-4626-bbf7-8156d9c2c4fc""}, {""ragCompany"": ""90e9de1d-a9ed-4432-b6fb-3e488d2ee3c6""}, {""ragCompany"": ""485f3a26-1734-471d-b18b-09907d34355b""}]}","combination:企业指标-行业-企业指标"
"28","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""年度中国发明专利授权数"": ""3304 件""}}, {""企业"": {""企业名称"": ""美能炫锦电气公司""}}, {""行业"": {""行业名称"": ""消费电子及电气业""}}, {""企业"": {""企业名称"": ""海丽创耀家电公司""}}, {""企业指标"": {""年度中国发明专利申请数"": ""8 件""}}], ""question"": ""2022年美能炫锦电气公司的年度中国发明专利授权数是否高于海丽创耀家电公司的年度中国发明专利申请数？"", ""reference"": [{""ragCompanyData"": ""3808263c-c56e-4eeb-b16d-b32302554002""}, {""ragCompanyData"": ""1742607a-1367-458d-8bf9-b9850d72a344""}, {""ragCompany"": ""90e9de1d-a9ed-4432-b6fb-3e488d2ee3c6""}, {""ragCompany"": ""cbcdc5e9-a16e-41ca-9f5c-3b29d0902389""}]}","combination:企业指标-行业-企业指标"
"29","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""省或部级科技进步奖"": ""2 个""}}, {""企业"": {""企业名称"": ""美能炫锦电气公司""}}, {""行业"": {""行业名称"": ""消费电子及电气业""}}, {""企业"": {""企业名称"": ""海丽创耀家电公司""}}, {""企业指标"": {}}], ""question"": ""2022年美能炫锦电气公司的省或部级科技进步奖数量是否高于海丽创耀家电公司？"", ""reference"": [{""ragCompanyData"": ""3808263c-c56e-4eeb-b16d-b32302554002""}, {""ragCompanyData"": ""1742607a-1367-458d-8bf9-b9850d72a344""}, {""ragCompany"": ""90e9de1d-a9ed-4432-b6fb-3e488d2ee3c6""}, {""ragCompany"": ""cbcdc5e9-a16e-41ca-9f5c-3b29d0902389""}]}","combination:企业指标-行业-企业指标"
"30","{""answer"": ""2070319837.92"", ""evidence"": [{""企业指标"": {""总负债"": ""10344552545.65 元""}}, {""企业"": {""企业名称"": ""三夏泽能电力公司""}}, {""行业"": {""行业名称"": ""电力、热力、燃气及水生产和供应业""}}, {""企业"": {""企业名称"": ""景能电热燃气公司""}}, {""企业指标"": {""总负债"": ""8274232707.73 元""}}], ""question"": ""2022年三夏泽能电力公司的总负债与景能电热燃气公司的总负债相比，相差多少？"", ""reference"": [{""ragCompanyData"": ""77f252db-7ff7-4422-aac6-4db091b00f91""}, {""ragCompanyData"": ""78ce6b29-7295-43bb-ab69-473b188f464d""}, {""ragCompany"": ""6e04f2f0-42d4-46a2-885c-87d82009b319""}, {""ragCompany"": ""af90245d-1d33-4fa9-800a-cabc15e69927""}]}","combination:企业指标-行业-企业指标"
"31","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""研发投入占比"": ""3.96 %""}}, {""企业"": {""企业名称"": ""众海工筑锦建筑设计公司""}}, {""省份"": {""省份名称"": ""广东省""}}, {""企业"": {""企业名称"": ""以山泰泰医疗器械公司""}}, {""企业指标"": {""研发投入占比"": ""11.1 %""}}], ""question"": ""2022年众海工筑锦建筑设计公司的研发投入占比是否低于以山泰泰医疗器械公司的研发投入占比？"", ""reference"": [{""ragCompanyData"": ""82b1665a-ac50-4f32-bb39-62e19fce2035""}, {""ragCompanyData"": ""a50f3044-957a-4380-8852-f32116951aed""}, {""ragCompany"": ""6e6b4e87-8925-4b4b-a3d5-8f4e80099348""}, {""ragCompany"": ""14950802-93f3-4237-a0ed-9d1b591fab65""}]}","combination:企业指标-省份-企业指标"
"32","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""资产负债率"": ""63.23 %""}}, {""企业"": {""企业名称"": ""众海工筑锦建筑设计公司""}}, {""省份"": {""省份名称"": ""广东省""}}, {""企业"": {""企业名称"": ""以山泰泰医疗器械公司""}}, {""企业指标"": {""资产负债率"": ""39.97 %""}}], ""question"": ""2022年众海工筑锦建筑设计公司的资产负债率是否高于以山泰泰医疗器械公司的资产负债率？"", ""reference"": [{""ragCompanyData"": ""82b1665a-ac50-4f32-bb39-62e19fce2035""}, {""ragCompanyData"": ""a50f3044-957a-4380-8852-f32116951aed""}, {""ragCompany"": ""6e6b4e87-8925-4b4b-a3d5-8f4e80099348""}, {""ragCompany"": ""14950802-93f3-4237-a0ed-9d1b591fab65""}]}","combination:企业指标-省份-企业指标"
"33","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""累计所有专利被引用数"": ""199 件""}}, {""企业"": {""企业名称"": ""光盛昌泽集团公司""}}, {""省份"": {""省份名称"": ""广东省""}}, {""企业"": {""企业名称"": ""浪集云慧科技公司""}}, {""企业指标"": {""累计所有专利被引用数"": ""2107 件""}}], ""question"": ""2022年光盛昌泽集团公司的累计所有专利被引用数是否低于浪集云慧科技公司的相应指标？"", ""reference"": [{""ragCompanyData"": ""edcad9e4-7732-4626-be17-221470971633""}, {""ragCompanyData"": ""65e4ecc7-a9f7-4b79-8e68-371a69e09fbc""}, {""ragCompany"": ""604aa624-c515-41ee-b7b2-7b253cdfb094""}, {""ragCompany"": ""9c26f228-f68a-4696-8ec6-a9def8807013""}]}","combination:企业指标-省份-企业指标"
"34","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""年度中国专利申请数"": ""11 件""}}, {""企业"": {""企业名称"": ""普各健辰药业股份公司""}}, {""省份"": {""省份名称"": ""天津市""}}, {""企业"": {""企业名称"": ""金湖地产建设开发公司""}}, {""企业指标"": {""年度中国专利申请数"": ""6 件""}}], ""question"": ""2022年普各健辰药业股份公司的年度中国专利申请数是否高于金湖地产建设开发公司的?"", ""reference"": [{""ragCompanyData"": ""6b625166-a050-4409-961c-ac618ab953a1""}, {""ragCompanyData"": ""3cb33706-a1b1-455f-8576-c81fef20c0dc""}, {""ragCompany"": ""d2100a92-abee-4ae0-bc48-dd4086571095""}, {""ragCompany"": ""93890202-7e17-4984-8ee9-30c130437075""}]}","combination:企业指标-省份-企业指标"
